"id";"bookName";"author";"publication";"language";"location";"numberOfCopies";"createdDateTime";"lastUpdatedDateTime"
"31ec63cf-42b6-4b77-81b5-65a6b1460b99";"Nav Tatva Prakaran";"Shrimad Yashovijayji Jain Sanskrit Pathsala Mehsana";"Shrimad Yashovijayji Jain Sanskrit Pathsala Mehsana";"Gujarati";"";1;"2021-08-21 16:31:57";"2021-08-21 16:31:57"
"32830d63-ca36-4171-9ff8-ec478781cb0c";"Bhakti Sanchay";"Shrimad Rajchandra Swadhyay Mandir";"Shrimad Rajchandra Swadhyay Mandir";"Gujarati";"";1;"2021-08-21 17:22:06";"2021-08-21 17:22:06"
"36cefcbc-cf4b-4f57-828f-507e9dcf7347";"Chaturth Karmagranth";"Dhirajlal Dahyalal Mehta";"Jain Dharma Prasaran Trust - Surat";"Gujarati";"Rack 1 - Isle 1";4;"2021-09-04 15:48:18";"2021-09-04 15:48:18"
"386441ef-237b-493e-9ddc-0b5971f29f72";"Labdhi tana Bhandar";"Sunandaben Vohra";"Jain Centre New Jersey";"Gujarati";"Rack 1 - Isle 2";6;"2021-09-04 16:07:33";"2021-09-04 16:07:33"
"38c80ebd-492a-4da7-9e56-13b8ab3075a4";"Karmagranth - Volume 1:3";"Acharya Shri Vijay VirshekharSuri";"Bhartiya Prachyatatva Prakashan Samiti";"Gujarati";"Rack 1 - Isle 1";1;"2021-08-21 15:48:22";"2021-08-21 15:48:22"
"3d1ad3ce-be6b-4ce9-a32d-b2dcbf4c3c05";"Aagamdeep vol 1";"Muni Deep ratna sagar";"Navprabhat Printing press";"Gujarati";"Rack 1 - Isle 1";2;"2021-09-04 15:55:53";"2021-09-04 15:55:53"
"4017bca6-afdf-491d-ad6e-dd9b22853f63";"He Prabhu";"Shri Dineshbhai Modi";"Shri Alkesh Dinesh Modi Memorial Trust";"Gujarati";"";1;"2021-08-21 17:29:12";"2021-08-21 17:29:12"
"438714a2-8348-4ab7-865f-4bffbad3deca";"Hu Aatma Chhu - Volume 2";"Dr.Tarulbai Mahasati ji";"Shri Vardhman Jain Shravan Sangh Chembur";"Gujarati";"Rack 1 - Isle 1";3;"2021-08-21 15:43:30";"2021-08-21 15:43:30"
"43962ddd-c779-4b9a-9ea7-c4aae0e73985";"Pratishthta Mohatsav Smarak Granth";"Shri Jashbhai Govardhandas Patel";"Shri Jashbhai Govardhandas Patel";"Gujarati";"";1;"2021-08-15 17:57:04";"2021-08-15 17:57:04"
"46238d70-8183-472c-af5c-922a93b9d05d";"Prabhu Pratye";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Shrimad Rajchandra Adhyatmik Satsang Sadhna Kendra";"Gujarati";"Rack 1 - Isle 3";5;"2021-08-21 16:42:08";"2021-08-21 16:42:08"
"4859fae2-cb1b-4fab-abf7-fffe1c013a98";"Hu Aatma Chhu - Volume 1";"Dr.Tarulbai Mahasati ji";"Shri Vardhman Jain Shravan Sangh Chembur";"Gujarati";"Rack 1 - Isle 1";3;"2021-08-21 15:43:12";"2021-08-21 15:43:12"
"4fa0867e-f8e2-4757-9d9c-a8e42ce5de7b";"Dharmik Vahivat Vichar";"P. Chandrashekharvijayji";"Kamal Prakashan Trust";"Gujarati";"";1;"2021-08-21 17:49:07";"2021-08-21 17:49:07"
"51d928ab-66eb-4ee5-8578-107ad002a04a";"Satya Ni Sodh";"Dr. Hukamchand Bharill";"Pandit Todarmal Smarak Trust";"Gujarati";"Rack 1 - Isle 4";8;"2021-08-21 16:34:04";"2021-08-21 16:34:04"
"56f1a4a6-90d6-453f-ad34-937aec1089eb";"Pravachan Ratnakar - Volume 5";"Param Pujya Kanjiswami na pravachan";"Shri Digambar Jain Swadhyay Mandir Trust";"Gujarati";"";1;"2021-08-15 17:38:51";"2021-08-15 17:38:51"
"58b49828-073f-4b03-970f-89fb9d6d7140";"Shrimad Na Naamthi Chlati Sansthao";"";"Shrimad Rajchandra Mumukshu Mandad";"Gujarati";"";1;"2021-08-15 17:49:49";"2021-08-15 17:49:49"
"5b937301-aa45-4f99-901b-97eda823b781";"Aaptavani - Shreni 11(Purvarardh)";"Dr. Niruben Amin";"Dada Bhagwan Foundation (Madras) Vati";"Gujarati";"Rack 1 - Isle 3";1;"2021-08-21 16:46:56";"2021-08-21 16:46:56"
"5d640533-e5e0-455b-859e-754d8dd52f92";"Mokshmala Vivechan";"Shri Bhramchariji";"Shrimad Rajchandra Mumukshu (Anuyayi) Mandal";"Gujarati";"Rack 1 - Isle 4";1;"2021-09-04 18:35:58";"2021-09-04 18:35:58"
"5f4c444a-3b81-4279-a03d-0691c7ee537b";"Vadvano Bhai Pujya Bhaishri";"Manubhai Premchand Shah";"Shrimad Rajchandra Nijabhyas Mandap Tatha Viharbhavan Trust";"Gujarati";"";1;"2021-08-15 17:58:44";"2021-08-15 17:58:44"
"5fac331d-c4cf-4040-8bd7-e0d1c267adae";"Bodhaamrut - Volume 2";"Manubhai B Modi";"Manubhai B Modi";"Gujarati";"";1;"2021-08-15 17:52:15";"2021-08-15 17:52:15"
"60f6d49c-3c96-4b8a-b1ef-d404dd809bcb";"Aatmasidhhu Shashtra Darshan";"Shrimati Vijyaben Mansukhlal Udani";"Shri Masukhlal Chhaganlal Udani Pariwar";"Gujarati";"";1;"2021-08-21 15:51:40";"2021-08-21 15:51:40"
"61353d85-f90a-400c-8564-98bcef900989";"Shrimad Rajchandra Nirvan Shatabdi Smarnika";"Shri Niranjanbhai Sheth Shri Sudhaben Sheth";"Shri Sahaj Shrut Parab";"Gujarati";"";1;"2021-08-15 18:06:06";"2021-08-15 18:06:06"
"63324e18-629c-40b6-83b9-3510f7e64323";"Aagamdeep vol 3";"Muni Deep ratna sagar";"Navprabhat Printing press";"Gujarati";"Rack 1 - Isle 1";2;"2021-09-04 15:56:13";"2021-09-04 15:56:13"
"66b854fd-9ead-48f9-90e5-164422c6336d";"Shri Kevadi Prabhu no saath - Volume 1 to 5 Sandarpsuchi";"Saryu Rajni Mehta";"Shreyas Pracharak Sabha ";"Gujarati";"Rack 1 - Isle 5";1;"2021-08-15 17:20:56";"2021-08-15 17:20:56"
"66d6d59c-b4ee-4d8e-a355-7685cff530d1";"Antarnad";"Sunandaben Vohra";"Gunanuragi mitron Canada-America";"Gujarati";"Rack 1 - Isle 2";5;"2021-09-04 16:13:42";"2021-09-04 16:13:42"
"6750459e-aa5d-4131-a0e4-73c7eaa0e1dd";"Parichay Pustika";"Shrimad Rajchandra Mandir Simarda";"Shrimad Rajchandra Mandir Simadra";"Gujarati";"";1;"2021-08-21 17:34:13";"2021-08-21 17:34:13"
"6771b1da-b789-41a3-a913-67a28dd55ba0";"Bandhswamitvanama";"Dhirajlal Dahyalal Mehta";"Jain Dharma Prasaran Trust";"Gujarati";"Rack 1 - Isle 1";8;"2021-08-21 16:29:41";"2021-08-21 16:29:41"
"67db91c2-0423-4fa1-b020-d406070b2fc7";"Mokshmala Bhavnabodh";"Shrimad Rajchandra Ravjibhai";"Shrimad Nijabhyas Mandap";"Gujarati";"Rack 1 - Isle 4";1;"2021-09-04 18:34:44";"2021-09-04 18:34:44"
"6c075a54-8968-4436-ad90-03855d5936bc";"Bahenshri Na Vachanamrut";"Bahenshri Champaben";"Shri Digambar Jain Swadhyay Mandir Trust";"Gujarati";"";2;"2021-08-21 17:40:54";"2021-08-21 17:40:54"
"6ffde935-ea52-4f48-83b9-0d8893d15098";"Maran Mahotsav";"Balbhramachari Shri Gokulbhai Shah";"Sahjatma swarup param guru trust";"Gujarati";"";1;"2021-08-21 15:53:12";"2021-08-21 15:53:12"
"712a7c8e-def2-40c1-a7ba-1f9b9e80e6c5";"Parmatmaprakash";"Manubhai Modi";"Manubhai Modi";"Gujarati";"";1;"2021-08-21 15:41:58";"2021-08-21 15:41:58"
"717944b8-ad59-4f19-a342-63c9a6a7df8a";"Gangasati nu Adhyatma Darshan";"Bhandev";"Pravin Prakashan PVT LTD";"Gujarati";"";1;"2021-08-21 16:07:18";"2021-08-21 16:07:18"
"7750c60f-36b1-4e24-ad54-c86be04b5510";"Purushottam Mahavir";"Acharya MahaPragya";"Jain Vishwa Bharti";"Gujarati";"Rack 1 - Isle 4";11;"2021-08-21 16:20:14";"2021-08-21 16:20:14"
"7a7a4178-b72a-4422-bd64-888c68c0c565";"Krambadha Paryay";"Dr. Hukumchand Bharill";"Shri Digambar Jain Mumuksh Mandal";"Gujarati";"Rack 1 - Isle 4";1;"2021-09-04 17:59:47";"2021-09-04 17:59:47"
"7d442281-c1de-4581-80c7-1674c477aa1f";"Aagamdeep vol 4";"Muni Deep ratna sagar";"Navprabhat Printing press";"Gujarati";"Rack 1 - Isle 1";2;"2021-09-04 15:56:57";"2021-09-04 15:56:57"
"82b7702e-e408-4900-be2a-e55324a8b257";"Mangalmay yog";"Sunandaben Vohra";"Pujya Shri BhadraguptSuriji MaharajSaheb";"Gujarati";"Rack 1 - Isle 2";17;"2021-09-04 16:05:29";"2021-09-04 16:05:29"
"8449eb19-43ba-4435-a06c-102582a0977a";"Pravachan Ratnakar - Volume 2";"Shri Digambar Jain Swadhyay Mandir Trust Songadh";"Shri Digambar Jain Swadhyay Mandir Trust Swadhyay";"Gujarati";"";1;"2021-08-21 15:45:34";"2021-08-21 15:45:34"
"85e3267b-1cc3-40f6-84aa-bb2138faa604";"Pravachan Ratnakar - Volume 10";"Param Pujya Kanjiswami na pravachan";"Shri Digambar Jain Swadhyay Mandir Trust";"Gujarati";"";1;"2021-08-15 17:39:18";"2021-08-15 17:39:18"
"871c0461-0a2d-414d-8b69-8157340b926a";"Aadhyatma Rajchandra ";"Dr. Bhagwandas Mansukhbhai Mehta";"Paramshrutprabhavak Mandad";"Gujarati";"";1;"2021-08-15 18:00:08";"2021-08-15 18:00:08"
"872b83d6-b410-4fb1-baab-e35b7ca186eb";"Aaptavani - Shreni 8";"Shri Ajit C Patel";"Dada Bhagwan Foundation (Madras) Vati";"Gujarati";"Rack 1 - Isle 3";1;"2021-08-21 16:46:00";"2021-08-21 16:46:00"
"8867dcc1-75dc-4b14-a635-fc4b29cd717d";"Aanthe Kothe Ajwada";"Sunandaben Vohra";"Gunanu Ragi Mitra Desh Pardesh";"Gujarati";"Rack 1 - Isle 2";6;"2021-09-04 16:22:19";"2021-09-04 16:22:19"
"8c163734-2bd6-4a0c-9df7-a29d1b367f4a";"Shrimad Rajchandra Adhyatmik Sankshipta Jivan";"Premchand Raujibhai Kothari";"Premchand Raujibhai Kothari Ghatkopar";"Gujarati";"";1;"2021-08-21 17:18:47";"2021-08-21 17:18:47"
